ReturnID,OrderID,ProductID,ReturnDate,QuantityReturned,Reason,RefundAmount,Status
RT-00030,ORD-2023-000837,P-0730,2023-02-04,1,Changed mind,8100.0,Approved
RT-00031,ORD-2023-000848,P-0490,2023-01-29,1,Damaged in transit,123800.0,Approved
RT-00032,ORD-2023-000857,P-0540,2023-02-04,1,Damaged in transit,297800.0,Approved
RT-00033,ORD-2023-000858,P-0157,2023-02-04,1,Wrong item delivered,10950.0,Approved
RT-00034,ORD-2023-000933,P-0457,2023-02-09,1,Changed mind,177200.0,Approved
RT-00035,ORD-2023-000943,P-0777,2023-02-03,1,Expired product,10600.0,Approved
RT-00036,ORD-2023-000959,P-0028,2023-02-07,1,Damaged in transit,4950.0,Rejected
RT-00037,ORD-2023-000961,P-0325,2023-01-29,1,Changed mind,2500.0,Approved
RT-00038,ORD-2023-000990,P-0482,2023-02-09,1,Damaged in transit,81800.0,Approved
RT-00039,ORD-2023-001036,P-0265,2023-02-06,1,Expired product,4050.0,Approved
RT-00040,ORD-2023-001045,P-0411,2023-02-04,1,Changed mind,719000.0,Approved
RT-00041,ORD-2023-001046,P-0482,2023-02-06,1,Changed mind,81800.0,Approved
RT-00042,ORD-2023-001095,P-0444,2023-01-31,1,Changed mind,40000.0,Approved
RT-00043,ORD-2023-001124,P-0676,2023-02-01,1,Expired product,3600.0,Approved
RT-00044,ORD-2023-001133,P-0378,2023-02-03,1,Damaged in transit,1700.0,Approved
RT-00045,ORD-2023-001141,P-0510,2023-01-31,1,Defective on arrival,28200.0,Approved
RT-00046,ORD-2023-001181,P-0170,2023-02-13,1,Expired product,2400.0,Approved
RT-00047,ORD-2023-001185,P-0523,2023-02-02,1,Wrong item delivered,686950.0,Approved
RT-00048,ORD-2023-001191,P-0518,2023-02-07,1,Defective on arrival,229550.0,Approved
RT-00049,ORD-2023-001192,P-0940,2023-02-02,2,Wrong item delivered,223500.0,Pending
RT-00050,ORD-2023-001212,P-0690,2023-02-03,3,Expired product,24900.0,Approved
RT-00051,ORD-2023-001232,P-0616,2023-02-08,1,Wrong item delivered,40200.0,Approved
RT-00052,ORD-2023-001266,P-0105,2023-02-08,1,Damaged in transit,15150.0,Approved
RT-00053,ORD-2023-001286,P-0811,2023-02-08,1,Changed mind,2491.0,Approved
RT-00054,ORD-2023-001298,P-0175,2023-02-09,1,Expired product,28650.0,Approved
RT-00055,ORD-2023-001305,P-0242,2023-02-12,1,Expired product,13700.0,Approved
RT-00056,ORD-2023-001322,P-0549,2023-02-08,1,Changed mind,47300.0,Approved
RT-00057,ORD-2023-001330,P-0911,2023-02-15,1,Damaged in transit,7300.0,Approved
RT-00058,ORD-2023-001343,P-0796,2023-02-06,1,Expired product,27500.0,Approved
RT-00059,ORD-2023-001353,P-1187,2023-02-11,1,Changed mind,55750.0,Approved
RT-00060,ORD-2023-001357,P-0123,2023-02-19,1,Damaged in transit,41800.0,Approved
RT-00061,ORD-2023-001400,P-0726,2023-02-12,1,Changed mind,33350.0,Approved
RT-00062,ORD-2023-001408,P-0098,2023-02-14,1,Expired product,1650.0,Pending
RT-00063,ORD-2023-001437,P-0309,2023-02-12,1,Expired product,2350.0,Approved
RT-00064,ORD-2023-001441,P-0197,2023-02-09,1,Wrong item delivered,1100.0,Approved
RT-00065,ORD-2023-001497,P-1045,2023-02-11,3,Wrong item delivered,155550.0,Approved
RT-00066,ORD-2023-001517,P-0385,2023-02-14,1,Wrong item delivered,120700.0,Pending
RT-00067,ORD-2023-001534,P-0415,2023-02-17,1,Changed mind,24700.0,Approved
RT-00068,ORD-2023-001548,P-0215,2023-02-21,1,Damaged in transit,11000.0,Approved
RT-00069,ORD-2023-001564,P-0144,2023-02-19,1,Damaged in transit,10850.0,Approved
RT-00070,ORD-2023-001603,P-0450,2023-02-14,1,Wrong item delivered,318150.0,Approved
RT-00071,ORD-2023-001606,P-0539,2023-02-25,1,Changed mind,177750.0,Approved
RT-00072,ORD-2023-001606,P-0490,2023-02-20,1,Defective on arrival,123800.0,Approved
RT-00073,ORD-2023-001638,P-0471,2023-02-13,1,Defective on arrival,587500.0,Approved
RT-00074,ORD-2023-001652,P-0371,2023-02-27,1,Changed mind,4400.0,Approved
RT-00075,ORD-2023-001659,P-0138,2023-02-15,1,Wrong item delivered,14900.0,Approved
RT-00076,ORD-2023-001665,P-0179,2023-02-22,1,Changed mind,3600.0,Approved
RT-00077,ORD-2023-001682,P-0249,2023-02-18,2,Changed mind,22100.0,Pending
RT-00078,ORD-2023-001687,P-0435,2023-02-26,1,Defective on arrival,68700.0,Approved
RT-00079,ORD-2023-001694,P-0758,2023-02-23,1,Changed mind,6250.0,Rejected
RT-00080,ORD-2023-001699,P-0072,2023-02-17,1,Changed mind,3550.0,Approved
RT-00081,ORD-2023-001749,P-1064,2023-02-18,1,Wrong item delivered,48750.0,Approved
RT-00082,ORD-2023-001783,P-0525,2023-02-23,1,Changed mind,6900.0,Approved
RT-00083,ORD-2023-001811,P-1065,2023-02-27,2,Wrong size,134300.0,Approved
RT-00084,ORD-2023-001812,P-0038,2023-02-23,1,Changed mind,14850.0,Rejected
RT-00085,ORD-2023-001822,P-1165,2023-02-24,1,Wrong item delivered,6850.0,Approved
RT-00086,ORD-2023-001841,P-0488,2023-02-28,1,Changed mind,18800.0,Approved
RT-00087,ORD-2023-001854,P-0934,2023-02-27,1,Changed mind,51400.0,Approved
RT-00088,ORD-2023-001859,P-0841,2023-02-25,1,Changed mind,4350.0,Approved
RT-00089,ORD-2023-001905,P-0274,2023-03-02,1,Wrong item delivered,40050.0,Approved
RT-00090,ORD-2023-001919,P-0955,2023-02-24,1,Changed mind,35550.0,Approved
RT-00091,ORD-2023-001922,P-1145,2023-02-26,1,Changed mind,6550.0,Approved
RT-00092,ORD-2023-001929,P-0866,2023-03-07,1,Expired product,12750.0,Approved
RT-00093,ORD-2023-001930,P-0812,2023-03-04,1,Expired product,11350.0,Approved
RT-00094,ORD-2023-001953,P-0462,2023-02-27,2,Wrong item delivered,548866.0,Rejected
RT-00095,ORD-2023-001954,P-0988,2023-02-25,1,Changed mind,27850.0,Approved
RT-00096,ORD-2023-002021,P-0351,2023-03-04,1,Expired product,32750.0,Approved
RT-00097,ORD-2023-002028,P-0125,2023-03-09,1,Expired product,500.0,Pending
RT-00098,ORD-2023-002070,P-0417,2023-02-28,1,Wrong item delivered,111800.0,Pending
RT-00099,ORD-2023-002090,P-1085,2023-03-01,1,Changed mind,10400.0,Rejected
RT-00100,ORD-2023-002102,P-0067,2023-03-04,2,Changed mind,17400.0,Approved
RT-00101,ORD-2023-002102,P-0324,2023-03-04,2,Wrong item delivered,2100.0,Approved
RT-00102,ORD-2023-002104,P-0528,2023-03-05,1,Changed mind,391850.0,Pending
RT-00103,ORD-2023-002106,P-0500,2023-03-02,1,Defective on arrival,384650.0,Approved
RT-00104,ORD-2023-002112,P-1064,2023-03-11,1,Wrong size,48750.0,Approved
RT-00105,ORD-2023-002144,P-0916,2023-03-06,2,Changed mind,14534.0,Rejected
RT-00106,ORD-2023-002169,P-0361,2023-03-11,1,Damaged in transit,22350.0,Approved
RT-00107,ORD-2023-002204,P-0520,2023-03-03,1,Defective on arrival,339200.0,Approved
RT-00108,ORD-2023-002245,P-0452,2023-03-04,1,Wrong item delivered,29500.0,Approved
RT-00109,ORD-2023-002298,P-0931,2023-03-10,1,Changed mind,29541.0,Approved
RT-00110,ORD-2023-002313,P-0263,2023-03-11,1,Wrong item delivered,11900.0,Approved
RT-00111,ORD-2023-002337,P-0880,2023-03-05,1,Wrong item delivered,1250.0,Pending
RT-00112,ORD-2023-002342,P-0533,2023-03-06,1,Wrong item delivered,153350.0,Approved
RT-00113,ORD-2023-002352,P-0463,2023-03-12,1,Damaged in transit,100190.0,Approved
RT-00114,ORD-2023-002365,P-0194,2023-03-16,1,Expired product,10300.0,Pending
RT-00115,ORD-2023-002403,P-0372,2023-03-16,1,Wrong item delivered,2350.0,Approved
RT-00116,ORD-2023-002420,P-0513,2023-03-10,2,Defective on arrival,101100.0,Approved
RT-00117,ORD-2023-002426,P-0243,2023-03-07,1,Damaged in transit,1032.0,Approved
RT-00118,ORD-2023-002433,P-0340,2023-03-12,1,Wrong item delivered,27950.0,Approved
RT-00119,ORD-2023-002479,P-0901,2023-03-08,1,Wrong item delivered,1000.0,Approved
RT-00120,ORD-2023-002499,P-1005,2023-03-12,1,Wrong size,64100.0,Approved
RT-00121,ORD-2023-002511,P-0381,2023-03-08,1,Damaged in transit,410900.0,Approved
RT-00122,ORD-2023-002554,P-0854,2023-03-14,1,Changed mind,4450.0,Approved
RT-00123,ORD-2023-002570,P-0152,2023-03-15,1,Changed mind,4150.0,Approved
RT-00124,ORD-2023-002583,P-0950,2023-03-18,1,Quality below expectation,64300.0,Approved
RT-00125,ORD-2023-002587,P-0873,2023-03-13,1,Changed mind,8004.0,Approved
RT-00126,ORD-2023-002629,P-0335,2023-03-21,1,Damaged in transit,1500.0,Approved
RT-00127,ORD-2023-002638,P-0932,2023-03-19,1,Quality below expectation,98500.0,Approved
RT-00128,ORD-2023-002650,P-0127,2023-03-21,1,Wrong item delivered,3800.0,Approved
RT-00129,ORD-2023-002656,P-0865,2023-03-14,1,Changed mind,1400.0,Approved
RT-00130,ORD-2023-002661,P-0015,2023-03-20,1,Damaged in transit,3900.0,Pending
RT-00131,ORD-2023-002686,P-0276,2023-03-22,1,Expired product,3150.0,Approved
RT-00132,ORD-2023-002692,P-0175,2023-03-22,5,Expired product,143250.0,Approved
RT-00133,ORD-2023-002706,P-0106,2023-03-23,2,Damaged in transit,9400.0,Approved
RT-00134,ORD-2023-002710,P-0093,2023-03-24,1,Changed mind,1000.0,Approved
RT-00135,ORD-2023-002775,P-1097,2023-03-27,1,Expired product,8350.0,Approved
RT-00136,ORD-2023-002781,P-0972,2023-03-16,1,Changed mind,78200.0,Approved
RT-00137,ORD-2023-002823,P-0330,2023-03-23,1,Wrong item delivered,31900.0,Approved
RT-00138,ORD-2023-002827,P-0138,2023-03-18,1,Wrong item delivered,14900.0,Approved
RT-00139,ORD-2023-002864,P-0705,2023-03-31,1,Wrong item delivered,71400.0,Approved
RT-00140,ORD-2023-002926,P-0607,2023-03-21,1,Wrong item delivered,9550.0,Approved
RT-00141,ORD-2023-002932,P-0646,2023-03-29,1,Damaged in transit,30600.0,Approved
RT-00142,ORD-2023-002934,P-0961,2023-04-01,1,Wrong size,92050.0,Approved
RT-00143,ORD-2023-002939,P-0057,2023-03-25,1,Changed mind,8008.0,Approved
RT-00144,ORD-2023-002942,P-0326,2023-03-24,1,Wrong item delivered,6050.0,Approved
RT-00145,ORD-2023-002946,P-0497,2023-03-26,1,Defective on arrival,104100.0,Pending
RT-00146,ORD-2023-002993,P-1057,2023-03-29,1,Changed mind,89300.0,Approved
RT-00147,ORD-2023-003042,P-0968,2023-03-31,1,Wrong size,75950.0,Approved
RT-00148,ORD-2023-003080,P-0933,2023-03-31,1,Wrong item delivered,11100.0,Rejected
RT-00149,ORD-2023-003115,P-0522,2023-03-26,1,Changed mind,4700.0,Pending
RT-00150,ORD-2023-003117,P-0661,2023-04-01,1,Expired product,5300.0,Rejected
RT-00151,ORD-2023-003150,P-0237,2023-04-02,1,Expired product,2250.0,Approved
RT-00152,ORD-2023-003156,P-0167,2023-04-07,1,Expired product,1848.0,Approved
RT-00153,ORD-2023-003170,P-0420,2023-04-06,1,Wrong item delivered,534750.0,Approved
RT-00154,ORD-2023-003225,P-0521,2023-04-06,1,Wrong item delivered,15950.0,Approved
RT-00155,ORD-2023-003226,P-0440,2023-04-08,1,Changed mind,81650.0,Rejected
RT-00156,ORD-2023-003248,P-0102,2023-04-05,2,Wrong item delivered,28400.0,Rejected
RT-00157,ORD-2023-003255,P-0335,2023-04-08,1,Changed mind,1500.0,Rejected
RT-00158,ORD-2023-003257,P-0593,2023-04-04,1,Damaged in transit,43700.0,Approved
RT-00159,ORD-2023-003278,P-1006,2023-04-10,2,Wrong size,126800.0,Rejected
RT-00160,ORD-2023-003300,P-0592,2023-04-06,1,Changed mind,22600.0,Approved
RT-00161,ORD-2023-003321,P-0542,2023-04-01,1,Changed mind,80800.0,Approved
RT-00162,ORD-2023-003327,P-0396,2023-04-04,1,Defective on arrival,79800.0,Approved
RT-00163,ORD-2023-003340,P-0151,2023-04-09,1,Wrong item delivered,1700.0,Rejected
RT-00164,ORD-2023-003357,P-0654,2023-04-03,1,Changed mind,34410.0,Approved
RT-00165,ORD-2023-003369,P-1023,2023-04-03,2,Wrong size,80500.0,Approved
RT-00166,ORD-2023-003371,P-0961,2023-04-11,1,Changed mind,92050.0,Rejected
RT-00167,ORD-2023-003376,P-0509,2023-03-31,1,Damaged in transit,666900.0,Approved
RT-00168,ORD-2023-003427,P-0196,2023-04-04,2,Changed mind,10700.0,Approved
RT-00169,ORD-2023-003433,P-1073,2023-04-05,1,Wrong size,43650.0,Approved
RT-00170,ORD-2023-003455,P-1196,2023-04-13,1,Changed mind,23655.0,Approved
RT-00171,ORD-2023-003470,P-0022,2023-04-02,1,Wrong item delivered,7052.5,Pending
RT-00172,ORD-2023-003524,P-0260,2023-04-05,2,Expired product,8200.0,Approved
RT-00173,ORD-2023-003535,P-0569,2023-04-07,1,Changed mind,14650.0,Approved
RT-00174,ORD-2023-003559,P-1041,2023-04-16,1,Wrong item delivered,46400.0,Rejected
RT-00175,ORD-2023-003564,P-0459,2023-04-14,1,Changed mind,83550.0,Approved
RT-00176,ORD-2023-003575,P-0392,2023-04-05,2,Wrong item delivered,463200.0,Approved
RT-00177,ORD-2023-003610,P-0706,2023-04-11,1,Changed mind,31950.0,Approved
RT-00178,ORD-2023-003611,P-0829,2023-04-10,2,Expired product,4700.0,Approved
RT-00179,ORD-2023-003613,P-0494,2023-04-08,1,Damaged in transit,220600.0,Approved
RT-00180,ORD-2023-003621,P-0755,2023-04-13,1,Changed mind,4700.0,Approved
RT-00181,ORD-2023-003629,P-1059,2023-04-16,1,Changed mind,41050.0,Approved
RT-00182,ORD-2023-003644,P-0383,2023-04-18,1,Defective on arrival,17150.0,Approved
RT-00183,ORD-2023-003678,P-0965,2023-04-09,1,Wrong item delivered,56300.0,Pending
RT-00184,ORD-2023-003685,P-1008,2023-04-09,1,Wrong item delivered,14000.0,Approved
RT-00185,ORD-2023-003687,P-0413,2023-04-18,1,Changed mind,668800.0,Pending
RT-00186,ORD-2023-003713,P-1063,2023-04-18,1,Quality below expectation,70750.0,Approved
RT-00187,ORD-2023-003748,P-1070,2023-04-19,1,Wrong item delivered,92150.0,Pending
RT-00188,ORD-2023-003748,P-0660,2023-04-08,1,Expired product,53150.0,Approved
RT-00189,ORD-2023-003819,P-0224,2023-04-13,1,Damaged in transit,880.0,Pending
RT-00190,ORD-2023-003839,P-0756,2023-04-19,1,Changed mind,11100.0,Rejected
RT-00191,ORD-2023-003840,P-0745,2023-04-18,1,Expired product,2750.0,Rejected
RT-00192,ORD-2023-003842,P-0318,2023-04-22,1,Changed mind,1350.0,Rejected
RT-00193,ORD-2023-003843,P-1058,2023-04-15,1,Changed mind,24100.0,Rejected
RT-00194,ORD-2023-003848,P-0765,2023-04-12,1,Damaged in transit,5500.0,Approved
RT-00195,ORD-2023-003851,P-0234,2023-04-14,1,Wrong item delivered,2244.0,Approved
RT-00196,ORD-2023-003921,P-1132,2023-04-14,1,Wrong item delivered,10700.0,Approved
RT-00197,ORD-2023-003948,P-0093,2023-04-25,1,Changed mind,1000.0,Approved
RT-00198,ORD-2023-003966,P-0897,2023-04-27,1,Damaged in transit,5250.0,Approved
RT-00199,ORD-2023-003982,P-0403,2023-04-17,1,Defective on arrival,577600.0,Approved
RT-00200,ORD-2023-004041,P-0471,2023-04-19,1,Damaged in transit,587500.0,Rejected
RT-00201,ORD-2023-004069,P-0572,2023-04-22,1,Damaged in transit,6900.0,Approved
RT-00202,ORD-2023-004084,P-0509,2023-04-29,1,Changed mind,666900.0,Approved
RT-00203,ORD-2023-004103,P-0152,2023-04-22,1,Changed mind,3652.0,Rejected
RT-00204,ORD-2023-004124,P-1126,2023-04-23,1,Changed mind,22350.0,Approved
RT-00205,ORD-2023-004139,P-0207,2023-04-27,2,Changed mind,1400.0,Rejected
RT-00206,ORD-2023-004155,P-0870,2023-05-02,1,Expired product,800.0,Approved
RT-00207,ORD-2023-004208,P-0956,2023-04-23,1,Changed mind,63950.0,Rejected
RT-00208,ORD-2023-004211,P-0281,2023-04-25,2,Damaged in transit,24000.0,Pending
RT-00209,ORD-2023-004260,P-0511,2023-04-23,1,Defective on arrival,286350.0,Pending
RT-00210,ORD-2023-004261,P-0149,2023-04-29,1,Changed mind,3266.0,Approved
RT-00211,ORD-2023-004295,P-0502,2023-04-24,1,Changed mind,138900.0,Approved
RT-00212,ORD-2023-004304,P-1080,2023-04-25,1,Wrong size,32100.0,Approved
RT-00213,ORD-2023-004328,P-1147,2023-05-03,1,Damaged in transit,7250.0,Approved
RT-00214,ORD-2023-004340,P-0915,2023-05-06,1,Damaged in transit,8750.0,Approved
RT-00215,ORD-2023-004418,P-0530,2023-05-02,1,Changed mind,53650.0,Approved
RT-00216,ORD-2023-004419,P-0440,2023-04-29,1,Damaged in transit,81650.0,Approved
RT-00217,ORD-2023-004423,P-0791,2023-05-01,1,Expired product,1410.0,Approved
RT-00218,ORD-2023-004451,P-0132,2023-05-01,1,Expired product,7150.0,Approved
RT-00219,ORD-2023-004457,P-0211,2023-05-08,1,Changed mind,22050.0,Rejected
RT-00220,ORD-2023-004460,P-0609,2023-05-01,1,Changed mind,83800.0,Approved
RT-00221,ORD-2023-004469,P-0238,2023-05-01,1,Wrong item delivered,32150.0,Approved
RT-00222,ORD-2023-004475,P-0048,2023-05-01,1,Changed mind,1700.0,Approved
RT-00223,ORD-2023-004478,P-0581,2023-04-30,1,Changed mind,74550.0,Approved
RT-00224,ORD-2023-004499,P-0088,2023-05-11,1,Wrong item delivered,5100.0,Approved
RT-00225,ORD-2023-004517,P-0428,2023-05-01,1,Wrong item delivered,48950.0,Approved
RT-00226,ORD-2023-004551,P-0156,2023-04-30,1,Expired product,26450.0,Approved
RT-00227,ORD-2023-004584,P-0272,2023-05-12,3,Changed mind,2250.0,Approved
RT-00228,ORD-2023-004603,P-0982,2023-05-14,1,Wrong item delivered,98100.0,Approved
RT-00229,ORD-2023-004628,P-0714,2023-05-12,2,Damaged in transit,6700.0,Approved
RT-00230,ORD-2023-004639,P-0717,2023-05-05,1,Damaged in transit,18847.0,Rejected
RT-00231,ORD-2023-004698,P-0663,2023-05-12,1,Wrong item delivered,34450.0,Approved
RT-00232,ORD-2023-004728,P-0074,2023-05-06,1,Wrong item delivered,900.0,Approved
RT-00233,ORD-2023-004731,P-0060,2023-05-04,1,Changed mind,22950.0,Approved
RT-00234,ORD-2023-004747,P-0492,2023-05-06,1,Defective on arrival,99900.0,Approved
RT-00235,ORD-2023-004770,P-0848,2023-05-17,1,Damaged in transit,10400.0,Approved
RT-00236,ORD-2023-004805,P-0555,2023-05-09,1,Damaged in transit,176650.0,Approved
RT-00237,ORD-2023-004826,P-0258,2023-05-11,1,Changed mind,6150.0,Approved
RT-00238,ORD-2023-004830,P-0655,2023-05-13,1,Changed mind,27800.0,Approved
RT-00239,ORD-2023-004835,P-0534,2023-05-17,1,Changed mind,162100.0,Approved
RT-00240,ORD-2023-004842,P-0505,2023-05-14,1,Damaged in transit,727950.0,Approved
RT-00241,ORD-2023-004846,P-0155,2023-05-14,1,Changed mind,33800.0,Rejected
RT-00242,ORD-2023-004857,P-0363,2023-05-09,1,Wrong item delivered,17550.0,Rejected
RT-00243,ORD-2023-004869,P-0110,2023-05-16,1,Changed mind,1833.0,Approved
RT-00244,ORD-2023-004879,P-0444,2023-05-10,1,Wrong item delivered,40000.0,Pending
RT-00245,ORD-2023-004891,P-0956,2023-05-16,1,Wrong item delivered,63950.0,Rejected
RT-00246,ORD-2023-004911,P-0606,2023-05-22,1,Wrong item delivered,8600.0,Approved
RT-00247,ORD-2023-004913,P-0094,2023-05-10,1,Wrong item delivered,700.0,Approved
RT-00248,ORD-2023-004921,P-0565,2023-05-22,1,Wrong item delivered,2400.0,Approved
RT-00249,ORD-2023-004934,P-0752,2023-05-20,1,Expired product,8300.0,Approved
RT-00250,ORD-2023-004935,P-0794,2023-05-20,1,Changed mind,14628.0,Approved
RT-00251,ORD-2023-004994,P-0233,2023-05-25,1,Changed mind,1500.0,Approved
RT-00252,ORD-2023-005018,P-0483,2023-05-20,1,Changed mind,41700.0,Approved
RT-00253,ORD-2023-005024,P-0019,2023-05-23,2,Changed mind,6000.0,Approved
RT-00254,ORD-2023-005053,P-0619,2023-05-18,1,Expired product,29050.0,Approved
RT-00255,ORD-2023-005062,P-0200,2023-05-26,1,Changed mind,4900.0,Approved
RT-00256,ORD-2023-005065,P-0078,2023-05-19,1,Wrong item delivered,6950.0,Rejected
RT-00257,ORD-2023-005079,P-0244,2023-05-17,1,Changed mind,4000.0,Approved
RT-00258,ORD-2023-005100,P-0946,2023-05-23,1,Wrong item delivered,70300.0,Approved
RT-00259,ORD-2023-005133,P-0396,2023-05-23,1,Defective on arrival,79800.0,Approved
RT-00260,ORD-2023-005140,P-0913,2023-05-28,1,Expired product,3200.0,Approved
RT-00261,ORD-2023-005170,P-0482,2023-05-21,1,Wrong item delivered,81800.0,Approved
RT-00262,ORD-2023-005170,P-1063,2023-05-24,1,Changed mind,70750.0,Rejected
RT-00263,ORD-2023-005175,P-1045,2023-05-18,1,Changed mind,51850.0,Rejected
RT-00264,ORD-2023-005184,P-0768,2023-05-19,1,Expired product,13850.0,Approved
RT-00265,ORD-2023-005189,P-0361,2023-05-23,2,Changed mind,44700.0,Approved
RT-00266,ORD-2023-005220,P-0004,2023-05-19,1,Damaged in transit,32900.0,Approved
RT-00267,ORD-2023-005222,P-0834,2023-05-25,1,Damaged in transit,2850.0,Rejected
RT-00268,ORD-2023-005230,P-0911,2023-05-28,1,Changed mind,7300.0,Approved
RT-00269,ORD-2023-005247,P-0253,2023-05-29,1,Expired product,1200.0,Approved
RT-00270,ORD-2023-005254,P-0857,2023-05-27,1,Wrong item delivered,10400.0,Approved
RT-00271,ORD-2023-005267,P-0315,2023-05-25,1,Changed mind,250.0,Approved
RT-00272,ORD-2023-005274,P-0422,2023-05-21,1,Wrong item delivered,94500.0,Rejected
RT-00273,ORD-2023-005282,P-0104,2023-05-24,1,Expired product,33150.0,Approved
RT-00274,ORD-2023-005305,P-0475,2023-05-26,1,Damaged in transit,24700.0,Pending
RT-00275,ORD-2023-005322,P-0260,2023-05-30,3,Wrong item delivered,12300.0,Approved
RT-00276,ORD-2023-005337,P-1083,2023-05-22,1,Expired product,11050.0,Approved
RT-00277,ORD-2023-005346,P-0473,2023-05-31,2,Damaged in transit,819300.0,Pending
RT-00278,ORD-2023-005377,P-0700,2023-05-26,1,Wrong item delivered,31800.0,Rejected
RT-00279,ORD-2023-005443,P-0863,2023-05-28,1,Damaged in transit,4400.0,Rejected
RT-00280,ORD-2023-005446,P-0180,2023-05-31,1,Wrong item delivered,2944.0,Approved
RT-00281,ORD-2023-005457,P-0428,2023-05-26,1,Damaged in transit,48950.0,Approved
RT-00282,ORD-2023-005477,P-0453,2023-05-31,1,Changed mind,234500.0,Approved
RT-00283,ORD-2023-005482,P-0855,2023-06-03,1,Damaged in transit,4450.0,Approved
RT-00284,ORD-2023-005507,P-1010,2023-06-03,1,Quality below expectation,90750.0,Approved
RT-00285,ORD-2023-005529,P-0513,2023-05-29,1,Wrong item delivered,50550.0,Approved
RT-00286,ORD-2023-005568,P-0570,2023-06-07,1,Damaged in transit,13816.0,Approved
RT-00287,ORD-2023-005572,P-1180,2023-06-01,1,Wrong item delivered,10384.0,Approved
RT-00288,ORD-2023-005578,P-0465,2023-06-02,2,Damaged in transit,78900.0,Pending
RT-00289,ORD-2023-005584,P-0428,2023-06-03,1,Changed mind,48950.0,Approved
RT-00290,ORD-2023-005588,P-0349,2023-06-08,1,Changed mind,4576.0,Pending
RT-00291,ORD-2023-005639,P-0428,2023-06-03,1,Damaged in transit,43076.0,Approved
RT-00292,ORD-2023-005639,P-0449,2023-05-29,1,Damaged in transit,81928.0,Pending
RT-00293,ORD-2023-005642,P-0937,2023-06-01,1,Wrong item delivered,67848.0,Approved
RT-00294,ORD-2023-005678,P-1035,2023-06-05,1,Changed mind,100250.0,Approved
RT-00295,ORD-2023-005680,P-1043,2023-06-08,1,Wrong item delivered,22572.0,Rejected
RT-00296,ORD-2023-005718,P-1037,2023-06-04,1,Changed mind,76950.0,Approved
RT-00297,ORD-2023-005720,P-0410,2023-06-02,1,Defective on arrival,141550.0,Approved
RT-00298,ORD-2023-005753,P-0054,2023-06-07,3,Wrong item delivered,5280.0,Approved
RT-00299,ORD-2023-005768,P-0493,2023-06-05,1,Wrong item delivered,41624.0,Approved
RT-00300,ORD-2023-005822,P-0461,2023-06-09,1,Damaged in transit,73850.0,Approved
